['data_5min/sol_usd_5min_data4.csv', '-13', '3', '0.015', '0.065', '80', '8', '0.0006', '0.0008', '3', '2', '12', '0.17', 'True', 'True', '193', '49', '25.38860103626943', '2600']
['data_5min/sol_usd_5min_data4.csv', '-13', '3', '0.015', '0.065', '80', '8', '0.0009', '0.0008', '3', '2', '12', '0.17', 'True', 'True', '233', '58', '24.892703862660944', '2850']

['data_5min/matic_usd_5min_data4.csv', '-13', '4', '0.035', '0.065', '80', '8', '0.0006', '0.0011', '7', '2', '12', '0.17', 'True', 'True', '83', '25', '30.120481927710845', '2100']
['data_5min/matic_usd_5min_data4.csv', '-13', '3', '0.015', '0.065', '80', '8', '0.0009', '0.0008', '7', '2', '12', '0.17', 'True', 'True', '411', '91', '22.14111922141119', '2200']
['data_5min/matic_usd_5min_data4.csv', '-13', '4', '0.025', '0.065', '80', '8', '0.0006', '0.0011', '7', '2', '12', '0.17', 'True', 'True', '161', '41', '25.465838509316768', '2200']
['data_5min/matic_usd_5min_data4.csv', '-13', '4', '0.015', '0.065', '80', '8', '0.0009', '0.0008', '5', '2', '12', '0.17', 'True', 'True', '280', '65', '23.214285714285715', '2250']
['data_5min/matic_usd_5min_data4.csv', '-13', '4', '0.015', '0.065', '80', '8', '0.0006', '0.0008', '5', '2', '12', '0.17', 'True', 'True', '242', '59', '24.380165289256198', '2650']
['data_5min/matic_usd_5min_data4.csv', '-13', '3', '0.015', '0.065', '80', '8', '0.0006', '0.0008', '7', '2', '12', '0.17', 'True', 'True', '381', '87', '22.83464566929134', '2700']
['data_5min/matic_usd_5min_data4.csv', '-13', '4', '0.015', '0.065', '80', '8', '0.0006', '0.0008', '7', '2', '12', '0.17', 'True', 'True', '211', '53', '25.118483412322274', '2700']

['data_5min/link_usd_5min_data4.csv', '-13', '4', '0.025', '0.065', '80', '8', '0.0009', '0.0011', '3', '2', '12', '0.17', 'True', 'True', '143', '38', '26.573426573426573', '2350']
['data_5min/link_usd_5min_data4.csv', '-13', '3', '0.025', '0.065', '80', '8', '0.0006', '0.0011', '5', '2', '12', '0.17', 'True', 'True', '191', '48', '25.13089005235602', '2450']
['data_5min/link_usd_5min_data4.csv', '-13', '3', '0.025', '0.065', '80', '8', '0.0006', '0.0011', '3', '2', '12', '0.17', 'True', 'True', '239', '58', '24.267782426778243', '2550']
['data_5min/link_usd_5min_data4.csv', '-13', '3', '0.015', '0.065', '80', '8', '0.0009', '0.0011', '5', '2', '12', '0.17', 'True', 'True', '374', '85', '22.727272727272727', '2550']
['data_5min/link_usd_5min_data4.csv', '-13', '3', '0.025', '0.065', '80', '8', '0.0006', '0.0011', '7', '2', '12', '0.17', 'True', 'True', '170', '45', '26.47058823529412', '2750']
['data_5min/link_usd_5min_data4.csv', '-13', '3', '0.035', '0.065', '80', '8', '0.0006', '0.0011', '3', '2', '12', '0.17', 'True', 'True', '127', '37', '29.133858267716533', '2900']
['data_5min/link_usd_5min_data4.csv', '-13', '3', '0.025', '0.065', '80', '8', '0.0006', '0.0008', '3', '2', '12', '0.17', 'True', 'True', '201', '52', '25.870646766169152', '2950']

['data_5min/dot_usd_5min_data4.csv', '-13', '4', '0.025', '0.065', '80', '8', '0.0009', '0.0011', '7', '2', '12', '0.17', 'True', 'True', '44', '13', '29.545454545454547', '1050']
['data_5min/dot_usd_5min_data4.csv', '-13', '4', '0.025', '0.065', '80', '8', '0.0009', '0.0011', '3', '2', '12', '0.17', 'True', 'True', '67', '18', '26.865671641791046', '1150']
['data_5min/dot_usd_5min_data4.csv', '-13', '4', '0.015', '0.065', '80', '8', '0.0006', '0.0011', '7', '2', '12', '0.17', 'True', 'True', '57', '16', '28.07017543859649', '1150']
['data_5min/dot_usd_5min_data4.csv', '-13', '4', '0.035', '0.065', '80', '8', '0.0009', '0.0011', '3', '2', '12', '0.17', 'True', 'True', '36', '12', '33.33333333333333', '1200']
['data_5min/dot_usd_5min_data4.csv', '-13', '4', '0.015', '0.065', '80', '8', '0.0009', '0.0011', '7', '2', '12', '0.17', 'True', 'True', '71', '19', '26.76056338028169', '1200']
['data_5min/dot_usd_5min_data4.csv', '-13', '3', '0.035', '0.065', '80', '8', '0.0009', '0.0008', '5', '2', '12', '0.17', 'True', 'True', '53', '16', '30.18867924528302', '1350']
['data_5min/dot_usd_5min_data4.csv', '-13', '3', '0.035', '0.065', '80', '8', '0.0009', '0.0008', '7', '2', '12', '0.17', 'True', 'True', '46', '15', '32.608695652173914', '1450']
['data_5min/dot_usd_5min_data4.csv', '-13', '3', '0.025', '0.065', '80', '8', '0.0009', '0.0011', '7', '2', '12', '0.17', 'True', 'True', '95', '25', '26.31578947368421', '1500']
['data_5min/dot_usd_5min_data4.csv', '-13', '3', '0.035', '0.065', '80', '8', '0.0006', '0.0008', '3', '2', '12', '0.17', 'True', 'True', '59', '18', '30.508474576271187', '1550']
['data_5min/dot_usd_5min_data4.csv', '-13', '3', '0.035', '0.065', '80', '8', '0.0009', '0.0008', '3', '2', '12', '0.17', 'True', 'True', '73', '21', '28.767123287671232', '1600']
